KPI_ID,KPI_Name,Department_ID,KPI_Category_ID,Description,Calculation,Numerator,Denominator,Data_Source,System_ID,Frequency,Target,Lower_Threshold,Upper_Threshold,RAG_Logic,Primary_Audience,Notes
1,Total Referrals Received,Shared,Demand,Total Referrals Received,,,,,,,,,,,,
,Total referrals accepted,,,,,,,,,,,,,,,
,Total referrals signposted,,,,,,,,,,,,,,,
2,Proportion of Urgent and High-Risk Referrals,CYP,Safety,"Percentage of incoming referrals flagged as urgent, with self?harm, suicidal ideation, or safeguarding concerns.",,,,,,,,,,,,
3,Triage Timeliness Compliance,CYP,Access,Percentage of referrals triaged within agreed timeframes (Urgent / Priority / Routine).,,,,,,,,,,,,
4,Average Time from Referral to Intervention Start,Shared,Access,Mean and median number of days from referral acceptance to first intervention session.,,,,,,,,,,,,
5,Waiting-Time Breaches,Shared,Access,Number and percentage of cases breaching the 8?week intervention start standard.,,,,,,,,,,,,
6,Active Safeguarding Cases,Shared,Safety,"Number of open safeguarding cases, segmented by urgency (Immediate / High / Moderate).",,,,,,,,,,,,
7,Safeguarding Response Timeliness,Shared,Safety,Average time from safeguarding concern raised to first action / oversight recorded.,,,,,,,,,,,,
8,Goal-Based Outcomes (GBO) Improvement,CYP,Outcomes,"Average improvement between baseline and final goal scores for closed cases. Measured across all commissioned CYP providers and intervention modalities (1:1, group, digital where applicable), with provider and modality available as reporting dimensions.",,,,,,,,,,,,
9,ROM Completion and Improvement Rate,CYP,Outcomes,"Percentage of cases with completed baseline and final outcome measures, and average improvement.",,,,,,,,,,,,
10,Attendance Rate,Shared,Delivery,Percentage of scheduled sessions attended.,,,,,,,,,,,,
11,DNA (Did Not Attend) Rate,Shared,Delivery,Proportion of sessions recorded as no?shows.,,,,,,,,,,,,
12,Access and Outcomes by Priority Group,CYP,Equity,"Referral rates, waiting times, and outcomes segmented by key cohorts (LAC, care leavers, SEND, LGBTQIA+, refugees).",,,,,,,,,,,,
13,Equality Data Completeness ,CYP,Equity,Percentage of cases completed with additional equality data from the mandatory fields.,,,,,,,,,,,,
14,Provider Acceptance & Throughput,CYP,Access,Time taken for providers to accept referrals and proportion declined or reallocated.,,,,,,,,,,,,
15,CYP Transition to Adult Services,Shared,Safety,"Number and proportion of CYP transitioning or preparing to transition to adult care pathways, by destination.",Count and % of eligible CYP,,,,,,,,,,,
16,CYP Caseload Size,CYP,Demand,"Number of CYP with open, accepted referrals across all commissioned providers.",,,,,,,,,,,,
17,Staff Turnover Rate,HR,Outcomes,Percentage of staff leaving the organisation during the period.,Leavers ÷ avg headcount × 100,,,,,,,,,,,
18,Sickness Absence Rate ,HR,Delivery,Percentage of working time lost to sickness absence.,Sick days ÷ total working days × 100,,,,,,,,,,,
19,Annual Leave Utilisation,HR,Delivery,Proportion of annual leave taken vs entitlement.,Leave taken ÷ leave entitlement × 100,,,,,,,,,,,
20,Attendance Rate ,HR,Delivery,Percentage of contracted days attended.,Attended days ÷ contracted days × 100,,,,,,,,,,,
21,Training Completion Rate,HR,Outcomes,Percentage of mandatory training completed.,Completed ÷ assigned × 100,,,,,,,,,,,
22,Training Overdue Rate,HR,Safety,Percentage of mandatory training overdue.,Overdue ÷ assigned × 100,,,,,,,,,,,
23,Supervision Compliance,HR,Delivery,Percentage of staff receiving supervision in line with policy.,Supervisions completed ÷ required × 100,,,,,,,,,,,
24,Appraisal Completion Rate,HR,Outcomes,Percentage of staff with completed annual appraisals.,Completed ÷ eligible staff × 100,,,,,,,,,,,
25,DBS Compliance Rate,HR,Safety,Percentage of staff with in?date DBS checks.,Valid DBS ÷ required DBS × 100,,,,,,,,,,,
26,Open HR Cases,HR,Safety,"Number of live HR processes (disciplinary, grievance, restructuring).",Count of open cases,,,,,,,,,,,
27,Average HR Case Duration,HR,Delivery,Average length of time HR cases remain open.,Mean days open,,,,,,,,,,,
28,Workforce EDI Profile,HR,Equity,Diversity profile across protected characteristics.,% by category,,,,,,,,,,,
29,EDI Data Completeness,HR,Equity,Percentage of staff with completed EDI data.,Completed ÷ total staff × 100,,,,,,,,,,,
30,Volunteer Headcount,HR,Delivery,Number of active volunteers.,Count,,,,,,,,,,,
31,Volunteer Retention Rate,HR,Outcomes,Percentage of volunteers retained over period.,Retained ÷ total volunteers × 100,,,,,,,,,,,
32,Vacancy Rate,HR,Demand,Percentage of approved posts that are vacant.,Vacant posts ÷ total funded posts × 100,,,,,,,,,,,
33,Time to Hire,HR,Access,Average number of days from vacancy approval to offer acceptance.,Mean days per hire,,,,,,,,,,,
34,Applications Received,HR,Demand,Total number of applications received in the reporting period.,Count of applications,,,,,,,,,,,
35,Referrals Received,Shared,Demand,Number of new referrals received in period.,Count of referrals,,,,,,,,,,,
36,Active SUN Members,SUN,Demand,Number of members with recent contact or open engagement.,Count of active members,,,,,,,,,,,
37,Sleeping Members,SUN,Access,Number of members with no contact in last 3 months.,Count of inactive members,,,,,,,,,,,
39,RASP Commencement Compliance,SUN,Access,Percentage of members commencing RASP within 4 sessions.,Compliant cases ÷ total cases × 100,,,,,,,,,,,
40,Groups Delivered,SUN,Delivery,Number of scheduled SUN groups completed.,Count of groups delivered,,,,,,,,,,,
41,Group Delivery Rate,SUN,Delivery,Percentage of planned groups that ran.,Delivered ÷ planned × 100,,,,,,,,,,,
42,Group Cancellation Rate,SUN,Delivery,Percentage of planned groups cancelled (all reasons).,Cancelled ÷ planned × 100,,,,,,,,,,,
43,Average Group Attendance,SUN,Delivery,Mean number of attendees per group.,Avg attendees,,,,,,,,,,,
45,Successful Contacts,SUN,Delivery,Number of successful contacts with members.,Count of contacts,,,,,,,,,,,
47,PROM Completion Rate,SUN,Outcomes,Percentage of members completing PROMs at required intervals.,Completed ÷ eligible × 100,,,,,,,,,,,
48,PREM Coverage,SUN,Outcomes,Percentage of members offered/completing PREMs quarterly.,Compliant ÷ eligible × 100,,,,,,,,,,,
49,Psychiatric Admissions,SUN,Safety,Number of members admitted to inpatient care.,Count,,,,,,,,,,,
50,Psychiatry Liaison Referrals,SUN,Safety,Number of members escalated to psychiatry liaison.,Count,,,,,,,,,,,
51,SUN Member Demographics,SUN,Equity,Demographic and locality profile of SUN members.,% by category,,,,,,,,,,,
52,Safe Haven Access,SUN,Equity,Number of SUN members accessing Safe Havens.,Count,,,,,,,,,,,
53,Crisis House Access,SUN,Equity,Number of SUN members accessing crisis houses (when live).,Count,,,,,,,,,,,
54,Fundraising Income,Development & Engagement,Outcomes,Total unrestricted fundraising income received.,Sum of donations & events income (£),,,,,Monthly,,,,,,
55,Fundraising Income vs Target,Development & Engagement,Outcomes,Percentage of fundraising target achieved YTD.,Actual ÷ target × 100,,,,,Monthly,,,,,,
56,Number of Active Donors,Development & Engagement,Demand,Count of donors who have donated in last 12 months.,Count,,,,,Quarterly,,,,,,
57,Events Attended,Development & Engagement,Delivery,Number of fundraising / engagement events attended.,Count,,,,,Monthly,,,,,,
58,Active Funding Applications,Development & Engagement,Demand,Number of live grant / contract bids.,Count,,,,,Monthly,,,,,,
59,Funding Success Rate,Development & Engagement,Outcomes,Percentage of submitted bids that are successful.,Successful ÷ submitted × 100,,,,,Quarterly,,,,,,
60,Value of Successful Funding,Development & Engagement,Outcomes,Total value of grants and contracts awarded.,Sum of awarded amounts (£),,,,,Quarterly,,,,,,
61,Average Funding Duration,Development & Engagement,Outcomes,Average length (months) of secured funding.,Mean duration,,,,,Quarterly,,,,,,
62,Potential Funding Pipeline Value,Development & Engagement,Demand,Total value of identified but not yet submitted opportunities.,Sum (£),,,,,Quarterly,,,,,,
63,Total Contracted Income,Development & Engagement,Outcomes,Total value of active contracts and grants.,Sum of active contract values (£),,,,,Quarterly,,,,,,
64,Income Coverage Period,Development & Engagement,Safety,Average months of guaranteed funding remaining.,Mean months remaining,,,,,Quarterly,,,,,,
65,New Members,Development & Engagement,Demand,Number of new members recruited.,Count,,,,,Monthly,,,,,,
66,Total Active Members,Development & Engagement,Demand,Total current membership.,Count,,,,,Quarterly,,,,,,
67,Newsletter Subscriber Growth,Development & Engagement,Delivery,Net increase in newsletter subscribers.,New ? unsubscribed,,,,,Quarterly,,,,,,
68,Newsletter Open Rate,Development & Engagement,Outcomes,Percentage of subscribers opening newsletter.,Opens ÷ sends × 100,,,,,Quarterly,,,,,,
69,Social Media Reach (Aggregate),Development & Engagement,Delivery,Total followers across key platforms.,Sum of followers,,,,,Quarterly,,,,,,
70,Referrals Received,Shared,Access,Number of referrals received into CTS during the period.,,,,,,Monthly,,,,,,
71,CTS Registrations,CTS,Access,Number of clients registered onto CTS pathways.,,,,,,Monthly,,,,,,
72,Registration Conversion Rate,CTS,Access,Percentage of referrals converted to registrations.,,,,,,Monthly,,,,,,
73,Active CTS Clients,CTS,Delivery,Number of clients actively receiving therapy.,,,,,,Monthly,,,,,,
74,Active Counsellors,CTS,Delivery,Number of counsellors delivering therapy in period.,,,,,,Monthly,,,,,,
75,Client-to-Counsellor Ratio,CTS,Delivery,Average number of active clients per counsellor.,,,,,,Monthly,,,,,,
